in:dy_4,in:dx_0,in:dy_0,out:Displayment,out:Mass,img
3,0.2,-1.2,0.056606,263.311373,dy_43_dx_00.2_dy_0-1.2.png
-3,0.6,-1.2,0.045244,167.335142,dy_4-3_dx_00.6_dy_0-1.2.png
-1.8,0.6,-1.2,0.05335,138.751962,dy_4-1.8_dx_00.6_dy_0-1.2.png
-0.6,0.6,-1.2,0.083924,148.644208,dy_4-0.6_dx_00.6_dy_0-1.2.png
0.6,0.6,-1.2,0.099531,173.786902,dy_40.6_dx_00.6_dy_0-1.2.png
1.8,0.6,-1.2,0.060844,212.489983,dy_41.8_dx_00.6_dy_0-1.2.png
3,0.6,-1.2,0.058006,258.26568,dy_43_dx_00.6_dy_0-1.2.png
-3,1,-1.2,0.051661,153.028025,dy_4-3_dx_01_dy_0-1.2.png
-1.8,1,-1.2,0.051824,127.757598,dy_4-1.8_dx_01_dy_0-1.2.png
-0.6,1,-1.2,0.106088,127.371524,dy_4-0.6_dx_01_dy_0-1.2.png
0.6,1,-1.2,0.135105,139.928149,dy_40.6_dx_01_dy_0-1.2.png
1.8,1,-1.2,0.071887,165.763422,dy_41.8_dx_01_dy_0-1.2.png
3,1,-1.2,0.067171,198.583961,dy_43_dx_01_dy_0-1.2.png
-3,-1,-0.4,0.060194,209.459722,dy_4-3_dx_0-1_dy_0-0.4.png
-1.8,-1,-0.4,0.094179,177.691412,dy_4-1.8_dx_0-1_dy_0-0.4.png
-0.6,-1,-0.4,0.221918,166.244163,dy_4-0.6_dx_0-1_dy_0-0.4.png
0.6,-1,-0.4,0.118508,180.122854,dy_40.6_dx_0-1_dy_0-0.4.png
1.8,-1,-0.4,0.057533,213.344936,dy_41.8_dx_0-1_dy_0-0.4.png
3,-1,-0.4,0.05312,256.112563,dy_43_dx_0-1_dy_0-0.4.png
-3,-0.6,-0.4,0.050603,195.549815,dy_4-3_dx_0-0.6_dy_0-0.4.png
-1.8,-0.6,-0.4,0.087914,161.75324,dy_4-1.8_dx_0-0.6_dy_0-0.4.png
-0.6,-0.6,-0.4,0.179264,150.746118,dy_4-0.6_dx_0-0.6_dy_0-0.4.png
0.6,-0.6,-0.4,0.103855,166.758681,dy_40.6_dx_0-0.6_dy_0-0.4.png
1.8,-0.6,-0.4,0.05607,201.5561,dy_41.8_dx_0-0.6_dy_0-0.4.png
3,-0.6,-0.4,0.052836,245.30803,dy_43_dx_0-0.6_dy_0-0.4.png
-3,-0.2,-0.4,0.045078,184.611944,dy_4-3_dx_0-0.2_dy_0-0.4.png
-1.8,-0.2,-0.4,0.075219,148.15581,dy_4-1.8_dx_0-0.2_dy_0-0.4.png
-0.6,-0.2,-0.4,0.13646,137.80956,dy_4-0.6_dx_0-0.2_dy_0-0.4.png
0.6,-0.2,-0.4,0.095851,156.410404,dy_40.6_dx_0-0.2_dy_0-0.4.png
1.8,-0.2,-0.4,0.056311,192.734723,dy_41.8_dx_0-0.2_dy_0-0.4.png
3,-0.2,-0.4,0.053778,237.348714,dy_43_dx_0-0.2_dy_0-0.4.png
-3,0.2,-0.4,0.046233,176.430449,dy_4-3_dx_00.2_dy_0-0.4.png
-1.8,0.2,-0.4,0.057068,136.542902,dy_4-1.8_dx_00.2_dy_0-0.4.png
-0.6,0.2,-0.4,0.104247,127.244096,dy_4-0.6_dx_00.2_dy_0-0.4.png
0.6,0.2,-0.4,0.095585,148.799672,dy_40.6_dx_00.2_dy_0-0.4.png
1.8,0.2,-0.4,0.058289,186.445118,dy_41.8_dx_00.2_dy_0-0.4.png
3,0.2,-0.4,0.055787,231.736926,dy_43_dx_00.2_dy_0-0.4.png
-3,0.6,-0.4,0.051347,170.891694,dy_4-3_dx_00.6_dy_0-0.4.png
-1.8,0.6,-0.4,0.051192,127.049445,dy_4-1.8_dx_00.6_dy_0-0.4.png
-0.6,0.6,-0.4,0.092427,119.355786,dy_4-0.6_dx_00.6_dy_0-0.4.png
0.6,0.6,-0.4,0.103856,143.697542,dy_40.6_dx_00.6_dy_0-0.4.png
1.8,0.6,-0.4,0.061814,182.259175,dy_41.8_dx_00.6_dy_0-0.4.png
3,0.6,-0.4,0.058625,227.986223,dy_43_dx_00.6_dy_0-0.4.png
-3,1,-0.4,0.060195,150.157651,dy_4-3_dx_01_dy_0-0.4.png
-1.8,1,-0.4,0.059356,117.053152,dy_4-1.8_dx_01_dy_0-0.4.png
-0.6,1,-0.4,0.109603,107.092103,dy_4-0.6_dx_01_dy_0-0.4.png
0.6,1,-0.4,0.138645,119.648727,dy_40.6_dx_01_dy_0-0.4.png
1.8,1,-0.4,0.07254,145.484001,dy_41.8_dx_01_dy_0-0.4.png
3,1,-0.4,0.067574,178.304539,dy_43_dx_01_dy_0-0.4.png
-3,-1,0.4,0.051755,204.422121,dy_4-3_dx_0-1_dy_00.4.png
-1.8,-1,0.4,0.07091,166.927886,dy_4-1.8_dx_0-1_dy_00.4.png
-0.6,-1,0.4,0.358903,145.807406,dy_4-0.6_dx_0-1_dy_00.4.png
0.6,-1,0.4,0.172017,152.089274,dy_40.6_dx_0-1_dy_00.4.png
1.8,-1,0.4,0.057226,181.87252,dy_41.8_dx_0-1_dy_00.4.png
3,-1,0.4,0.049972,223.176814,dy_43_dx_0-1_dy_00.4.png
-3,-0.6,0.4,0.044771,193.192959,dy_4-3_dx_0-0.6_dy_00.4.png
-1.8,-0.6,0.4,0.05496,153.700331,dy_4-1.8_dx_0-0.6_dy_00.4.png
-0.6,-0.6,0.4,0.346616,131.036051,dy_4-0.6_dx_0-0.6_dy_00.4.png
0.6,-0.6,0.4,0.155648,138.712902,dy_40.6_dx_0-0.6_dy_00.4.png
1.8,-0.6,0.4,0.059673,170.532236,dy_41.8_dx_0-0.6_dy_00.4.png
3,-0.6,0.4,0.053338,213.18408,dy_43_dx_0-0.6_dy_00.4.png
-3,-0.2,0.4,0.051216,186.233689,dy_4-3_dx_0-0.2_dy_00.4.png
-1.8,-0.2,0.4,0.052309,144.565133,dy_4-1.8_dx_0-0.2_dy_00.4.png
-0.6,-0.2,0.4,0.321399,119.699634,dy_4-0.6_dx_0-0.2_dy_00.4.png
0.6,-0.2,0.4,0.15176,129.391278,dy_40.6_dx_0-0.2_dy_00.4.png
1.8,-0.2,0.4,0.065381,163.464366,dy_41.8_dx_0-0.2_dy_00.4.png
3,-0.2,0.4,0.059273,207.366682,dy_43_dx_0-0.2_dy_00.4.png
-3,0.2,0.4,0.061885,181.670863,dy_4-3_dx_00.2_dy_00.4.png
-1.8,0.2,0.4,0.064276,137.856943,dy_4-1.8_dx_00.2_dy_00.4.png
-0.6,0.2,0.4,0.265561,109.732382,dy_4-0.6_dx_00.2_dy_00.4.png
0.6,0.2,0.4,0.16425,122.465574,dy_40.6_dx_00.2_dy_00.4.png
1.8,0.2,0.4,0.07259,158.80707,dy_41.8_dx_00.2_dy_00.4.png
3,0.2,0.4,0.065622,203.74591,dy_43_dx_00.2_dy_00.4.png
-3,0.6,0.4,0.070002,178.883867,dy_4-3_dx_00.6_dy_00.4.png
-1.8,0.6,0.4,0.075778,133.383044,dy_4-1.8_dx_00.6_dy_00.4.png
-0.6,0.6,0.4,0.190054,100.334882,dy_4-0.6_dx_00.6_dy_00.4.png
0.6,0.6,0.4,0.193122,117.788539,dy_40.6_dx_00.6_dy_00.4.png
1.8,0.6,0.4,0.079672,155.95441,dy_41.8_dx_00.6_dy_00.4.png
3,0.6,0.4,0.071179,201.58677,dy_43_dx_00.6_dy_00.4.png
-3,1,0.4,0.076204,151.174996,dy_4-3_dx_01_dy_00.4.png
-1.8,1,0.4,0.083691,118.070498,dy_4-1.8_dx_01_dy_00.4.png
-0.6,1,0.4,0.203156,91.570852,dy_4-0.6_dx_01_dy_00.4.png
0.6,1,0.4,0.238296,103.257025,dy_40.6_dx_01_dy_00.4.png
1.8,1,0.4,0.086918,129.092298,dy_41.8_dx_01_dy_00.4.png
3,1,0.4,0.076876,161.912837,dy_43_dx_01_dy_00.4.png
-3,-1,1.2,0.048442,209.919872,dy_4-3_dx_0-1_dy_01.2.png
-1.8,-1,1.2,0.059444,169.183247,dy_4-1.8_dx_0-1_dy_01.2.png
-0.6,-1,1.2,0.203686,140.777051,dy_4-0.6_dx_0-1_dy_01.2.png
0.6,-1,1.2,0.345483,137.293463,dy_40.6_dx_0-1_dy_01.2.png
1.8,-1,1.2,0.062798,161.046451,dy_41.8_dx_0-1_dy_01.2.png
3,-1,1.2,0.048623,199.786193,dy_43_dx_0-1_dy_01.2.png
-3,-0.6,1.2,0.101613,202.372447,dy_4-3_dx_0-0.6_dy_01.2.png
-1.8,-0.6,1.2,0.110068,160.108063,dy_4-1.8_dx_0-0.6_dy_01.2.png
-0.6,-0.6,1.2,0.242809,129.571527,dy_4-0.6_dx_0-0.6_dy_01.2.png
0.6,-0.6,1.2,0.268312,125.435113,dy_40.6_dx_0-0.6_dy_01.2.png
1.8,-0.6,1.2,0.08143,151.153669,dy_41.8_dx_0-0.6_dy_01.2.png
3,-0.6,1.2,0.090922,191.7125,dy_43_dx_0-0.6_dy_01.2.png
-3,-0.2,1.2,0.100874,198.432793,dy_4-3_dx_0-0.2_dy_01.2.png
-1.8,-0.2,1.2,0.110236,154.701958,dy_4-1.8_dx_0-0.2_dy_01.2.png
-0.6,-0.2,1.2,0.287405,121.630761,dy_4-0.6_dx_0-0.2_dy_01.2.png
0.6,-0.2,1.2,0.245438,116.518293,dy_40.6_dx_0-0.2_dy_01.2.png
1.8,-0.2,1.2,0.117772,144.862853,dy_41.8_dx_0-0.2_dy_01.2.png
3,-0.2,1.2,0.104998,187.289669,dy_43_dx_0-0.2_dy_01.2.png
-3,0.2,1.2,0.092688,195.694186,dy_4-3_dx_00.2_dy_01.2.png
-1.8,0.2,1.2,0.103398,150.706947,dy_4-1.8_dx_00.2_dy_01.2.png
-0.6,0.2,1.2,0.312344,114.82262,dy_4-0.6_dx_00.2_dy_01.2.png
0.6,0.2,1.2,0.346948,108.169851,dy_40.6_dx_00.2_dy_01.2.png
1.8,0.2,1.2,0.108685,140.009072,dy_41.8_dx_00.2_dy_01.2.png
3,0.2,1.2,0.09437,184.154967,dy_43_dx_00.2_dy_01.2.png
-3,0.6,1.2,0.087136,194.022759,dy_4-3_dx_00.6_dy_01.2.png
-1.8,0.6,1.2,0.098775,148.171526,dy_4-1.8_dx_00.6_dy_01.2.png
-0.6,0.6,1.2,0.32852,109.736465,dy_4-0.6_dx_00.6_dy_01.2.png
0.6,0.6,1.2,0.394775,100.700837,dy_40.6_dx_00.6_dy_01.2.png
1.8,0.6,1.2,0.102251,136.81443,dy_41.8_dx_00.6_dy_01.2.png
3,0.6,1.2,0.087538,182.221038,dy_43_dx_00.6_dy_01.2.png
-3,1,1.2,0.087033,158.180263,dy_4-3_dx_01_dy_01.2.png
-1.8,1,1.2,0.098559,125.075764,dy_4-1.8_dx_01_dy_01.2.png
-0.6,1,1.2,0.342766,98.576119,dy_4-0.6_dx_01_dy_01.2.png
0.6,1,1.2,0.41962,92.853243,dy_40.6_dx_01_dy_01.2.png
1.8,1,1.2,0.101367,118.688517,dy_41.8_dx_01_dy_01.2.png
3,1,1.2,0.086848,151.509056,dy_43_dx_01_dy_01.2.png
-3,-1,2,0.051639,242.570043,dy_4-3_dx_0-1_dy_02.png
-1.8,-1,2,0.055758,200.012621,dy_4-1.8_dx_0-1_dy_02.png
-0.6,-1,2,0.121377,167.264626,dy_4-0.6_dx_0-1_dy_02.png
0.6,-1,2,0.349543,155.043867,dy_40.6_dx_0-1_dy_02.png
1.8,-1,2,0.08681,169.817966,dy_41.8_dx_0-1_dy_02.png
3,-1,2,0.055947,203.96057,dy_43_dx_0-1_dy_02.png
-3,-0.6,2,0.052204,232.002332,dy_4-3_dx_0-0.6_dy_02.png
-1.8,-0.6,2,0.055199,188.330474,dy_4-1.8_dx_0-0.6_dy_02.png
-0.6,-0.6,2,0.107641,153.811946,dy_4-0.6_dx_0-0.6_dy_02.png
0.6,-0.6,2,0.296648,139.562922,dy_40.6_dx_0-0.6_dy_02.png
1.8,-0.6,2,0.074114,154.777147,dy_41.8_dx_0-0.6_dy_02.png
3,-0.6,2,0.046825,191.053624,dy_43_dx_0-0.6_dy_02.png
-3,-0.2,2,0.054546,224.880876,dy_4-3_dx_0-0.2_dy_02.png
-1.8,-0.2,2,0.056921,180.213809,dy_4-1.8_dx_0-0.2_dy_02.png
-0.6,-0.2,2,0.101309,143.900389,dy_4-0.6_dx_0-0.2_dy_02.png
0.6,-0.2,2,0.228835,126.991806,dy_40.6_dx_0-0.2_dy_02.png
1.8,-0.2,2,0.058219,142.866903,dy_41.8_dx_0-0.2_dy_02.png
3,-0.2,2,0.045098,181.731661,dy_43_dx_0-0.2_dy_02.png
-3,0.2,2,0.058121,220.211336,dy_4-3_dx_00.2_dy_02.png
-1.8,0.2,2,0.060652,174.748133,dy_4-1.8_dx_00.2_dy_02.png
-0.6,0.2,2,0.104256,136.806256,dy_4-0.6_dx_00.2_dy_02.png
0.6,0.2,2,0.16236,116.466262,dy_40.6_dx_00.2_dy_02.png
1.8,0.2,2,0.052564,133.388803,dy_41.8_dx_00.2_dy_02.png
3,0.2,2,0.050531,175.208292,dy_43_dx_00.2_dy_02.png
-3,0.6,2,0.062341,217.296488,dy_4-3_dx_00.6_dy_02.png
-1.8,0.6,2,0.065785,171.315322,dy_4-1.8_dx_00.6_dy_02.png
-0.6,0.6,2,0.117399,132.195099,dy_4-0.6_dx_00.6_dy_02.png
0.6,0.6,2,0.128278,107.900402,dy_40.6_dx_00.6_dy_02.png
1.8,0.6,2,0.060238,126.42809,dy_41.8_dx_00.6_dy_02.png
3,0.6,2,0.057849,171.033761,dy_43_dx_00.6_dy_02.png
-3,1,2,0.070439,171.804863,dy_4-3_dx_01_dy_02.png
-1.8,1,2,0.075257,138.700364,dy_4-1.8_dx_01_dy_02.png
-0.6,1,2,0.150558,112.200719,dy_4-0.6_dx_01_dy_02.png
0.6,1,2,0.144718,98.643772,dy_40.6_dx_01_dy_02.png
1.8,1,2,0.070703,114.90407,dy_41.8_dx_01_dy_02.png
3,1,2,0.066409,147.724608,dy_43_dx_01_dy_02.png
